Department,last_name,first_name,#,lender_name,debt_type,min_amount,max_amount,year_incurred,rate,term
Environmental Protection Agency,Schwab,Justin,2,Fedloan Servicing,Student Loan,10001,15000,2009,6.80%,10 years
Environmental Protection Agency,Schwab,Justin,3,Fedloan Servicing,Student Loan,10001,15000,2008,6.80%,10 years
Environmental Protection Agency,Schwab,Justin,4,Discover Student Loans,Student Loan,15001,50000,2009,8.75%,20 years
Environmental Protection Agency,Schwab,Justin,5,American Education Services,Student Loan,15001,50000,2008,2%,25 years
Environmental Protection Agency,Schwab,Justin,6,American Education Services,Student Loan,15001,50000,2007,2.62%,20 years
Environmental Protection Agency,Schwab,Justin,7,Navient,Student Loan,15001,50000,2012,6.63%,20 years
Department of Justice,Sessions,Jefferson B,1,GMFS,Mortgage on Personal Residence,250001,500000,2012,3.25%,25 years
Department of Justice,Sessions,Jefferson B,2,Capital One,Mortgage on Personal Residence,100001,250000,2015,3.25%,30 years
White House,Short,Marc,1,NELNET,Student Loan,15001,50000,2002,0.0175,30 years
White House,Short,Marc,2,American Express,Credit Card,10001,15000,,,
White House,Sifakis,George A,1,Nelnet,Student Loan,15001,50000,2003,4%,20
White House,Sifakis,George A,2,Jack Fisher Jr. Trust,Mortgage (investment/ren tal property),250001,500000,2015,7%,30 year
White House,Simms,Cindy,1,American Express,Credit Card,15001,50000,2016,10%,None
White House,Sims,Cliff,1,Wells Fargo,Mortgage (investment/ren tal property),100001,250000,2012,3.50%,30 Years
Department of the Treasury,Smith,Andrew,1,US Department of Education,Student Loan,100001,250000,2011,6.50%,20
White House,Spicer,Sean,1,Chase Bank,Mortgage (investment/ren tal property),50001,100000,2017,4.75,30
White House,Spicer,Sean,2,Wells Fargo Bank,Mortgage (investment/ren tal property),100001,250000,2017,4.65,30
White House,Spicer,Sean,3,Wells Fargo Bank,Mortgage (investment/ren tal property),100001,250000,2017,4.75,30
White House,Spicer,Sean,4,Lake Michigan Federal Credit Union,Mortgage (investment/ren tal property),250001,500000,2017,4.125,30
White House,Spicer,Sean,5,Chase Bank,Credit Card,10001,15000,2010,9%,Revolving
White House,Spicer,Sean,6,USAA,Credit Card,10001,15000,2000,9%,Revolving
White House,Spicer,Sean,7,U.S. Senate Federal Credit Union,Personal Loan,15001,50000,2016,10.75%,5
Department of State,Sullivan,John J,1,Blackstone Capital Holding Trust,Capital Call,250001,500000,2014,,on demand
Department of State,Sullivan,John J,2,ACP Power and Energy VI Real Asset Trust,Capital Call,50001,100000,2015,,on demand
White House,Teller,Paul,1,PNC Bank,Exercised Line of Credit,50001,100000,2016,2.65,Indefinite
Department of Education,Toner,Jana,1,Citibank,Exercised Line of Credit,100001,250000,2016,3.99,36 months
White House,Trump,Donald J,1,Ladder Capital Finance LLC,Trump Tower Commercial LLC - mortgage,50000000,,2012,4.20%,Matures in 2022
White House,Trump,Donald J,2,Ladder Capital Finance I LLC,40 Wall Street LLC - loan,50000000,,2015,3.67%,Matures in 2025
White House,Trump,Donald J,3,Deutsche Bank Trust Company Americas,Trump National Doral - mortgage,50000000,,2012,LIBOR + 1.75% or Prime minus .75%,Matures in 2023
White House,Trump,Donald J,4,Deutsche Bank Trust Company Americas,Trump National Doral - mortgage,5000001,25000000,2012,LIBOR + 1.75% or Prime minus .75%,Matures in 2023
White House,Trump,Donald J,5,"The Bank of New York Mellon Trust Company N.A. , as trustee",Fifty-Seventh Street Associates LLC - issuer of secured lease bonds,500001,1000000,1996,7.13%,Matures in 2017
White House,Trump,Donald J,6,Investors Savings Bank,Trump Park Avenue LLC - mortgage,5000001,25000000,2010,3.25%,Matures in 2020
White House,Trump,Donald J,7,Ladder Capital Finance LLC,Trump Plaza LLC - mortgage,5000001,25000000,2014,3.85%,Matures in 2024
White House,Trump,Donald J,8,Amboy Bank LLC,Trump National Golf Club Colts Neck LLC - mortgage,5000001,25000000,2008,5.25%,Matures in 2028
White House,Trump,Donald J,9,"Chevy Chase Trust Holdings, Inc. as successor in interest to Bondy Way Development",Trump National Golf Club Washington DC LLC - mortgage,5000001,25000000,2009,5.50%,Matures in 2029
White House,Trump,Donald J,10,Royal Bank America,Seven Springs - mortgage,5000001,25000000,2000,4.00%,Matures in 2019
White House,Trump,Donald J,11a,UBS Real Estate Investments Inc*,TIHT Commercial LLC - mortgage,5000001,25000000,2006,6.18%,Matures in 2016
White House,Trump,Donald J,11b,Ladder Capital Finance LLC*,TIHT Commercial LLC - mortgage,5000001,25000000,2016,4.05%,Matures in 2026
White House,Trump,Donald J,12,Merrill Lynch Credit Corporation,1094 S Ocean Blvd - mortgage,100001,250000,1994,Six month LIBOR +1.50%,Matures in 2019
White House,Trump,Donald J,13,Merrill Lynch Credit Corporation,124 Woodbridge Road - mortgage,50001,100000,1993,Six month LIBOR +1.75%,Matures in 2019
White House,Trump,Donald J,14,Chicago Unit Acquisition LLC,TIHT Chicago - springing loan,50000000,,2012,Prime + 5%,Springing loan
White House,Trump,Donald J,15,Deutsche Bank Trust Company Americas,TIHT Chicago - term loan,25000001,50000000,2012,LIBOR + 2.00% or Prime minus .50%,Matures in 2024
White House,Trump,Donald J,16,Deutsche Bank Trust Company Americas,Trump Old Post Office - loan,50000000,,2015,LIBOR or Prime + 2.00%,Matures in 2024
White House,Westerhout,Maedeleine,1,Department of Education,Student Loan,10001,15000,2013,6.80%,10 years
White House,Westerhout,Maedeleine,2,Department Of Education,Student Loan,10001,15000,2011,3.40%,10 years
White House,Westerhout,Maedeleine,3,Department of Education,Student Loan,10001,15000,2010,4.50%,10 years
Department of the Air Force,Wilson,Heather A,1,WELLS FARGO 2ND MORTGAGE/EQUITY LINE,Mortgage on Personal Residence,100001,250000,2013,3.50%,20 YEARS
Department of the Air Force,Wilson,Heather A,2,CITIMORTGAGE PRIMARY MORTGAGE,Mortgage on Personal Residence,100001,250000,2012,4.25%,30 YEARS
Department of the Air Force,Wilson,Heather A,3,PNC BANK -- SKYWATCHER,Mortgage (investment/ren tal property),50001,100000,2016,4.13%,19 YEARS
Department of the Air Force,Wilson,Heather A,4,PNC BANK -- PLAYER LOOP,Mortgage (investment/ren tal property),50001,100000,2003,6.63%,30 YEARS
Department of the Air Force,Wilson,Heather A,5,PNC BANK -- HAYES,Mortgage (investment/ren tal property),50001,100000,2003,6.63%,30 YEARS
Department of the Air Force,Wilson,Heather A,6,PNC BANK -- MESA MARIPOSA,Mortgage (investment/ren tal property),50001,100000,2004,6.88%,30 YEARS
Department of the Air Force,Wilson,Heather A,7,CITIMORTGAGE -- VISTA GRANDE,Mortgage (investment/ren tal property),50001,100000,2013,4.00%,24 Years
Department of the Air Force,Wilson,Heather A,8,CHASE -- BLOSSOMWOOD,Mortgage (investment/ren tal property),50001,100000,2006,6.375,30 YEARS
Department of the Treasury,Wrennall-Montes,Sarah,1,Saks Mastercard,Credit Card,10001,15000,2013,9%,
Department of the Treasury,Wrennall-Montes,Sarah,2,Upromise World Mastercard,Credit Card,10001,15000,2015,10.49%,
Department of Education,Young,Patrick,1,Fed Loan Servicing,Student Loan,50001,100000,2010,6,10
Department of the Interior,Zinke,Ryan,1,Wells Fargo,Mortgage (investment/ren tal property),100001,250000,2004,3.5,30 year
Department of the Interior,Zinke,Ryan,2,Wells Fargo,Mortgage on Personal Residence,100001,250000,2004,3.5,30 year
Department of the Interior,Zinke,Ryan,3,USAA,Personal Loan,15001,50000,2013,3.5,7 year
